,,,,,,,,,,
,,Money Keeper,,,,,,,,
,,Personal Finance Book,,,,,,,,
Transaction Report,,,,,,,,,,
From 6/1/2023 to 12/30/2026,,,,,,,,,,
,,,,,,,,,,
,,,,,,,Total income,170.836.000,Opening balance,0
,,,,,,,Total expense,758.746.341,Closing balance,-587.910.341
,,,,,,,,,,
,,,,,,,,,,Currency: VND
No,Date,Time,Income amount,Expense amount,Balance,Parent Category,Category,Payee,Event,Description
159,1/22/2026,12:00,       ,  20.000 ,-527.693.291,Food and Dining,Ăn/Uống vặt,,,Nc cam
160,1/22/2026,12:00,       ,  40.000 ,-527.673.291,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm trưa
161,1/22/2026,08:00,       ,  40.000 ,-527.633.291,Food and Dining,Ăn ngoài tiệm(Cty),,,Bún bò
162,1/22/2026,07:30,       ,  88.000 ,-527.593.291,Food and Dining,Ăn ngoài tiệm(Nhà),,,Mua cháo cho mẹ
163,1/20/2026,21:00,       ,  100.000 ,-527.505.291,Food and Dining,Ăn ngoài tiệm(Nhà),,,Chở mẹ ăn bún bò
164,1/20/2026,12:00,       ,  20.000 ,-527.405.291,Food and Dining,Ăn/Uống vặt,,,Nc cam
165,1/20/2026,12:00,       ,  30.000 ,-527.385.291,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm trưa
166,1/19/2026,12:00,       ,  30.000 ,-527.355.291,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm
167,1/19/2026,12:00,       ,  25.000 ,-527.325.291,Food and Dining,Ăn/Uống vặt,,,Sinh tố mãng cầu
168,1/18/2026,23:02,  3.000.000 ,       ,-527.300.291,Collecting debts,,,,"Dũng repaid money
Trả ngay hôm sau luôn r
"
169,1/18/2026,19:00,       ,  454.000 ,-530.300.291,Food and Dining,Đi siêu thị,,,Go
170,1/18/2026,09:00,       ,  293.000 ,-529.846.291,Food and Dining,Đi chợ,,,"112k rau trái
30k đậu hũ
85k tôm
66k thịt bò"
171,1/18/2026,09:00,       ,  32.000 ,-529.553.291,Food and Dining,Ăn/Uống vặt,,,Nc dừa
172,1/17/2026,21:00,       ,  5.000 ,-529.521.291,Đi lại,Gửi xe,,,
173,1/16/2026,12:00,       ,  20.000 ,-529.516.291,Food and Dining,Ăn/Uống vặt,,,Nc cam
174,1/16/2026,12:00,       ,  30.000 ,-529.496.291,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm
175,1/15/2026,22:57,       ,  300.000 ,-529.466.291,Mua sắm,,,,Mua bàn chải điện cho Iu
176,1/15/2026,12:00,       ,  30.000 ,-529.166.291,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm
177,1/15/2026,12:00,       ,  20.000 ,-529.136.291,Food and Dining,Ăn/Uống vặt,,,Nc cam
178,1/15/2026,08:00,       ,  40.000 ,-529.116.291,Food and Dining,Ăn ngoài tiệm(Cty),,,Bún bò
179,1/14/2026,21:41,       ,  354.520 ,-529.076.291,Mua sắm,,,,"Nước hoa
Gel vuốt tóc"
180,1/14/2026,19:00,       ,  5.000 ,-528.721.771,Đi lại,Gửi xe,,,
181,1/14/2026,12:00,       ,  50.000 ,-528.716.771,Food and Dining,Ăn ngoài tiệm(Cty),,,Hủ tíu
182,1/13/2026,12:00,       ,  30.000 ,-528.666.771,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm trưa
183,1/13/2026,12:00,       ,  20.000 ,-528.636.771,Food and Dining,Ăn/Uống vặt,,,Nc cam
184,1/13/2026,07:00,       ,  45.000 ,-528.616.771,Food and Dining,Ăn ngoài tiệm(Nhà),,,Mua bún cho mẹ
185,1/12/2026,18:00,       ,  275.000 ,-528.571.771,Food and Dining,Ăn ngoài tiệm(Nhà),,,"Mua ăn vs mẹ, tiệm Phúc Ký"
186,1/12/2026,12:00,       ,  20.000 ,-528.296.771,Food and Dining,Ăn/Uống vặt,,,Nc cam
187,1/12/2026,12:00,       ,  30.000 ,-528.276.771,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm trưa
188,1/12/2026,08:00,       ,  50.000 ,-528.246.771,Đi lại,Xăng xe,,,
189,1/11/2026,10:03,       ,  198.000 ,-528.196.771,Food and Dining,Đi chợ,,,"58k hành tỏi
55k vịt lộn
55k trứng cút
30k đậu hũ"
190,1/10/2026,18:30,       ,  70.000 ,-527.998.771,Food and Dining,Ăn ngoài tiệm(Nhà),,,Cơm Phúc Ký
191,1/10/2026,18:18,       ,  967.392 ,-527.928.771,Food and Dining,Đi siêu thị,,,Go
192,1/10/2026,10:30,       ,  90.000 ,-526.961.379,Food and Dining,Ăn ngoài tiệm(Nhà),,,Bún thịt nướng
193,1/9/2026,12:00,       ,  20.000 ,-526.871.379,Food and Dining,Ăn/Uống vặt,,,Nc cam
194,1/9/2026,12:00,       ,  50.000 ,-526.851.379,Food and Dining,Ăn ngoài tiệm(Cty),,,Hủ tíu
195,1/9/2026,08:00,       ,  40.000 ,-526.801.379,Food and Dining,Ăn ngoài tiệm(Cty),,,Bún bò
196,1/8/2026,19:00,       ,  271.035 ,-526.761.379,Vui chơi - Giải trí,,,,Github copilot
197,1/8/2026,12:00,       ,  20.000 ,-526.490.344,Food and Dining,Ăn/Uống vặt,,,Nc cam
